experiment,var,type,64x0000,64x0011,64x1100,64x1111,128x0000,128x0011,128x1100,128x1111,256x0000,256x0011,256x1100,256x11111
1,4,Consistent,0.953125,0.015625,0.03125,0,0.9375,0.046875,0.015625,0,0.93359375,0.03125,0.03125,0.00390625
2,8,Consistent,1.0,0,0,0,0.96875,0.0078125,0.0234375,0,0.9765625,0.01171875,0.01171875,0
3,12,Consistent,0.96875,0.015625,0.015625,0,0.9609375,0.0078125,0.03125,0,0.96484375,0.015625,0.01953125,0
4,4,Inconsistent,0.96875,0,0.03125,0,0.9921875,0,0.0078125,0,0.98046875,0,0.01953125,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.9375,0.015625,0.046875,0,0.953125,0.0078125,0.0390625,0,0.94140625,0.0390625,0.015625,0.00390625
2,8,Consistent,0.96875,0,0.03125,0,0.984375,0.015625,0,0,0.97265625,0.015625,0.01171875,0
3,12,Consistent,0.9375,0,0.0625,0,0.9609375,0.0078125,0.03125,0,0.953125,0.0234375,0.0234375,0
4,4,Inconsistent,0.984375,0,0.015625,0,0.984375,0,0.015625,0,0.98828125,0,0.01171875,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.953125,0.03125,0.015625,0,0.9140625,0.015625,0.0546875,0.015625,0.953125,0.0234375,0.0234375,0
2,8,Consistent,0.984375,0,0.015625,0,0.9765625,0.0078125,0.015625,0,0.953125,0.03125,0.015625,0
3,12,Consistent,1.0,0,0,0,0.9609375,0.0078125,0.03125,0,0.96875,0.015625,0.015625,0
4,4,Inconsistent,0.96875,0,0.03125,0,0.9921875,0,0.0078125,0,0.96875,0,0.03125,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.9375,0.0625,0,0,0.90625,0.0625,0.03125,0,0.94140625,0.03515625,0.0234375,0
2,8,Consistent,0.984375,0,0.015625,0,0.953125,0.03125,0.015625,0,0.96484375,0.01953125,0.015625,0
3,12,Consistent,0.984375,0,0.015625,0,0.96875,0.015625,0.015625,0,0.96875,0.015625,0.015625,0
4,4,Inconsistent,1.0,0,0,0,1.0,0,0,0,0.97265625,0,0.02734375,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.9375,0.0625,0,0,0.9609375,0.0078125,0.03125,0,0.95703125,0.0234375,0.01953125,0
2,8,Consistent,0.9375,0.046875,0.015625,0,0.984375,0.0078125,0.0078125,0,0.9609375,0.0234375,0.015625,0
3,12,Consistent,0.96875,0.015625,0.015625,0,0.9765625,0.0078125,0.015625,0,0.96875,0.015625,0.015625,0
4,4,Inconsistent,0.984375,0,0.015625,0,0.9765625,0,0.0234375,0,0.984375,0,0.015625,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.890625,0.0625,0.046875,0,0.9921875,0,0,0.0078125,0.9453125,0.03125,0.01953125,0.00390625
2,8,Consistent,0.984375,0.015625,0,0,0.9765625,0.0078125,0.015625,0,0.9765625,0.00390625,0.015625,0.00390625
3,12,Consistent,0.984375,0.015625,0,0,0.9609375,0.015625,0.0234375,0,0.97265625,0.0078125,0.01953125,0
4,4,Inconsistent,0.984375,0,0.015625,0,0.9921875,0,0.0078125,0,0.9921875,0,0.0078125,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.890625,0.046875,0.0625,0,0.9375,0.0390625,0.0234375,0,0.96484375,0.015625,0.01953125,0
2,8,Consistent,1.0,0,0,0,0.9921875,0.0078125,0,0,0.9609375,0.0234375,0.015625,0
3,12,Consistent,0.96875,0.03125,0,0,0.953125,0.03125,0.015625,0,0.9609375,0.0234375,0.01171875,0.00390625
4,4,Inconsistent,0.96875,0,0.03125,0,0.9921875,0,0.0078125,0,0.9921875,0,0.0078125,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.9375,0.015625,0.046875,0,0.90625,0.0390625,0.0546875,0,0.9296875,0.03515625,0.03515625,0
2,8,Consistent,0.953125,0,0.046875,0,0.984375,0,0.015625,0,0.97265625,0.01171875,0.01171875,0.00390625
3,12,Consistent,0.984375,0.015625,0,0,0.9609375,0.03125,0.0078125,0,0.9609375,0.01953125,0.01953125,0
4,4,Inconsistent,0.96875,0,0.03125,0,0.9765625,0,0.0234375,0,0.9765625,0,0.0234375,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.953125,0.03125,0.015625,0,0.953125,0.015625,0.03125,0,0.9140625,0.02734375,0.0546875,0.00390625
2,8,Consistent,0.96875,0.03125,0,0,0.96875,0.0078125,0.0234375,0,0.9375,0.03125,0.03125,0
3,12,Consistent,0.96875,0,0.03125,0,0.96875,0.0078125,0.0234375,0,0.9765625,0.0078125,0.01171875,0.00390625
4,4,Inconsistent,0.984375,0,0.015625,0,0.96875,0,0.03125,0,0.984375,0,0.015625,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.875,0.078125,0.046875,0,0.8828125,0.0546875,0.0625,0,0.9453125,0.02734375,0.02734375,0
2,8,Consistent,0.984375,0,0.015625,0,0.96875,0.015625,0.015625,0,0.9609375,0.03515625,0.00390625,0
3,12,Consistent,0.984375,0,0.015625,0,0.9453125,0.03125,0.0234375,0,0.9453125,0.02734375,0.02734375,0
4,4,Inconsistent,0.96875,0,0.03125,0,0.9765625,0,0.0234375,0,0.984375,0,0.015625,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.921875,0.015625,0.0625,0,0.921875,0.03125,0.0390625,0.0078125,0.91796875,0.04296875,0.0390625,0
2,8,Consistent,0.921875,0.015625,0.0625,0,0.9609375,0.0234375,0.015625,0,0.93359375,0.01953125,0.046875,0
3,12,Consistent,0.984375,0,0.015625,0,0.953125,0.015625,0.03125,0,0.95703125,0.01953125,0.0234375,0
4,4,Inconsistent,0.984375,0,0.015625,0,0.984375,0,0.015625,0,0.984375,0,0.015625,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.859375,0.078125,0.0625,0,0.9296875,0.0546875,0.015625,0,0.9296875,0.04296875,0.02734375,0
2,8,Consistent,0.96875,0.015625,0.015625,0,0.984375,0.0078125,0.0078125,0,0.96875,0.015625,0.015625,0
3,12,Consistent,0.96875,0,0.03125,0,0.96875,0.0078125,0.0234375,0,0.96875,0.015625,0.01171875,0.00390625
4,4,Inconsistent,0.984375,0,0.015625,0,0.9765625,0,0.0234375,0,0.98046875,0,0.01953125,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.921875,0.03125,0.046875,0,0.9296875,0.03125,0.0234375,0.015625,0.95703125,0.015625,0.0234375,0.00390625
2,8,Consistent,0.9375,0.015625,0.046875,0,0.9453125,0.03125,0.0234375,0,0.9765625,0.015625,0.0078125,0
3,12,Consistent,0.96875,0,0.03125,0,0.984375,0,0.015625,0,0.96484375,0.0234375,0.01171875,0
4,4,Inconsistent,0.984375,0,0.015625,0,0.96875,0,0.03125,0,0.984375,0,0.015625,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
1,4,Consistent,0.9375,0.03125,0.03125,0,0.9296875,0.03125,0.0390625,0,0.9140625,0.04296875,0.04296875,0
2,8,Consistent,0.96875,0.015625,0.015625,0,0.984375,0.0078125,0.0078125,0,0.9765625,0.0078125,0.015625,0
3,12,Consistent,0.96875,0.03125,0,0,0.9765625,0.0078125,0.015625,0,0.97265625,0.0078125,0.01953125,0
4,4,Inconsistent,0.953125,0,0.046875,0,0.9921875,0,0.0078125,0,0.98046875,0,0.01953125,0
5,8,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
6,12,Inconsistent,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
